Probe Set ID	Gene Symbol	p-value	chi-squared	degrees of freedom	group nr. 0 (AG)	ISL0004	ISL0006	ISL0007	ISL0008	ISL0010	ISL0014	ISL0019	ISL0020	ISL0023	ISL0027	ISL0028	ISL0030	ISL0032	ISL0033	ISL0034	ISL0036	ISL0040	ISL0042	ISL0044	ISL0046	ISL0047	ISL0049	ISL0052	ISL0053	ISL0056	ISL0059	ISL0064	ISL0065	ISL0066	group nr. 1 (AA)	ISL0003	ISL0009	ISL0015	ISL0022	ISL0026	ISL0043	ISL0055	ISL0058	ISL0062	group nr. 2 (GG)	ISL0001	ISL0002	ISL0011	ISL0012	ISL0013	ISL0016	ISL0021	ISL0024	ISL0025	ISL0029	ISL0031	ISL0035	ISL0037	ISL0038	ISL0039	ISL0041	ISL0045	ISL0048	ISL0050	ISL0051	ISL0054	ISL0057	ISL0063
8023710	CDH19	0.0001189	18	2	group nr. 0 (AG)	4.43	4.2	4.44	4.29	4.81	4.48	4.58	4.32	4.45	4.23	4.22	4.47	4.77	4.54	5.09	4.38	5.66	3.85	3.78	4.14	4.17	4.8	4.53	4.44	4.45	4.55	4.47	4.86	4.81	group nr. 1 (AA)	4.04	4.02	3.56	3.88	4.04	4.2	3.8	4.31	3.97	group nr. 2 (GG)	4.78	4.26	4.38	4.33	3.74	4.08	5.21	4.01	3.95	4.11	3.95	4.51	3.94	4.33	4.15	3.93	4.25	4.72	4.18	4.15	3.67	4.33	4.01
8173148	FAM104B	0.0002084	16	2	group nr. 0 (AG)	6.99	7	6.67	6.96	6.66	6.95	6.73	6.72	6.95	6.86	7.01	6.74	6.69	6.86	6.73	6.91	6.96	6.68	6.99	6.81	6.92	6.82	6.38	6.89	7.04	6.78	6.78	6.76	6.7	group nr. 1 (AA)	6.66	6.7	6.43	6.75	6.72	6.44	6.72	6.71	6.23	group nr. 2 (GG)	6.43	6.55	6.81	6.08	6.67	6.73	6.96	6.55	6.31	6.54	6.35	6.83	6.9	6.68	6.39	6.28	6.77	6.58	6.84	6.69	6.94	6.64	6.65
8017867	FAM20A	0.0006022	14	2	group nr. 0 (AG)	5.02	5.16	5.14	5.33	4.97	5.04	4.82	5.22	5.21	4.75	5.5	5.16	5.11	4.86	4.87	5.25	5.04	5.25	5.06	5.37	4.97	4.82	4.93	4.98	4.9	5.12	5.44	5.3	4.93	group nr. 1 (AA)	4.64	4.83	4.78	5.02	4.83	4.5	4.65	4.63	4.77	group nr. 2 (GG)	5.18	5.48	5.54	4.91	4.9	5.39	4.87	5.24	4.97	4.77	5.18	5.12	5.15	5.45	5.01	4.58	4.78	5.08	5.25	4.67	5.3	5.42	5.34
7918913	IGSF3	0.0007136	14	2	group nr. 0 (AG)	6.17	5.75	5.85	5.83	6.69	5.98	6	5.89	5.77	5.94	6.29	6.04	6.37	6.42	6.32	5.65	5.84	6.16	5.84	6.09	6.15	6.24	6.45	5.64	5.88	5.8	5.99	6.84	6.18	group nr. 1 (AA)	6.49	6.68	7.07	6.41	6.38	6.8	6.37	6.16	6.84	group nr. 2 (GG)	6.44	6.05	6	6.22	6.37	6.04	5.87	5.93	6.26	6.18	6.89	6.03	6.58	6.27	5.82	6.21	5.9	6.29	6.53	6.21	5.61	6.42	6.24
8138145	LOC441453	0.000628	14	2	group nr. 0 (AG)	7.56	7.08	7.08	7.47	7.47	7.42	7.3	6.98	7.28	7.89	7.13	7.67	7.63	7.45	7.58	7.47	7.26	7.71	7.49	7.16	7.65	7.43	7.31	7.12	7.48	7.44	7.73	7.85	7.44	group nr. 1 (AA)	7.93	7.85	8.02	7.7	7.72	7.95	7.51	7.64	7.87	group nr. 2 (GG)	7.41	7.48	7.31	7.96	7.68	7.69	7.43	7.45	7.43	8.08	7.71	7.66	7.59	7.68	7.16	7.37	7.36	7.9	7.81	7.48	7.51	7.3	7.61
7954012	LOH12CR1	0.0004611	15	2	group nr. 0 (AG)	6.35	6.39	6.64	6.44	6.59	6.47	6.35	6.56	6.59	6.36	6.6	6.49	6.47	6.35	6.28	6.71	6.48	6.42	6.46	6.46	6.6	6.5	6.42	6.51	6.32	6.22	6.49	6.59	6.43	group nr. 1 (AA)	6.6	6.14	6.28	6.4	6.31	6.52	6.29	6.31	6.27	group nr. 2 (GG)	6.28	6.32	6.44	6.53	6.37	6.24	6.32	6.55	6.29	6.31	6.46	6.29	6.46	6.39	6.17	6.02	6.35	6.13	6.44	6.27	6.25	6.35	6.18
7939942	OR5D14	0.0009844	13	2	group nr. 0 (AG)	3.39	3.4	3.16	3.25	3.46	3.29	3.08	3.17	3.5	3.44	3.34	2.96	3.31	3.25	3.13	3.2	3.52	3.03	3.24	3.29	3.36	3.14	3.23	3.18	3.39	3.31	3.34	2.86	3.24	group nr. 1 (AA)	3.38	3.21	3.36	3.36	3.47	3.4	3.57	3.43	3.27	group nr. 2 (GG)	3.33	3.36	3.25	3.84	3.34	3.41	3.19	3.51	3.4	3.59	3.24	3.32	3.29	3.47	3.61	3.39	3.57	3.52	3.42	3.31	3.49	3.39	3.52
7904433	PHGDH	0.0008809	14	2	group nr. 0 (AG)	8.18	7.56	7.88	8.28	9.28	8.45	7.71	7.49	8.46	7.9	7.65	8.69	8.8	8.69	8.68	8.41	8.2	8.13	8.03	8.44	8.46	8.1	8.6	7.16	7.97	7.64	8.57	8.97	8.32	group nr. 1 (AA)	9.08	8.88	9.15	8.44	8.95	9.65	8.67	8.65	9.14	group nr. 2 (GG)	8.39	8.32	8.22	8.9	8.35	8.6	7.85	8.44	8.75	8.21	9.51	8.26	8.61	8.97	8.09	8.84	7.19	8.52	8.76	8.46	8.41	9.21	8.28
7976826	SNORD114-26	0.0006518	14	2	group nr. 0 (AG)	5.19	5.29	4.97	5.79	5.05	5.46	5.12	5.29	4.72	5.84	4.47	4.93	5.12	4.97	4.57	4.73	4.47	4.77	5.19	4.99	5.3	4.83	5.55	4.85	4.67	5.23	5.16	5.34	5.03	group nr. 1 (AA)	4.71	4.77	4.85	4.61	4.52	4.77	4.34	5	4.51	group nr. 2 (GG)	4.72	4.63	4.22	4.81	4.28	4.7	5.07	5.03	4.81	5.06	4.57	4.79	4.77	4.95	5.06	4.84	4.85	4.37	4.63	4.36	4.49	4.86	5.17
7980438	SPTLC2	0.0009441	13	2	group nr. 0 (AG)	7.88	7.68	7.43	7.61	7.9	7.86	7.76	7.41	7.88	7.32	7.78	7.82	7.74	7.96	7.64	8.06	7.79	7.65	7.71	7.76	7.84	7.73	7.67	7.55	7.7	7.75	7.58	7.61	7.72	group nr. 1 (AA)	7.81	8.03	8.06	7.7	7.99	8.02	8.01	7.98	7.98	group nr. 2 (GG)	7.91	7.8	7.62	7.96	8.04	7.72	7.75	7.92	7.88	7.59	7.86	7.93	7.96	7.75	7.41	7.96	7.67	7.72	7.86	7.8	7.56	7.76	7.69
