#%file0_affymetrix-algorithm-param-apt-opt-feat-effect-file=
#%file0_affymetrix-algorithm-param-apt-opt-target-sketch-file=
#%file0_affymetrix-algorithm-param-apt-opt-do-residuals=false
#%file0_affymetrix-algorithm-param-apt-opt-do-feature-effects=false
#%file0_affymetrix-algorithm-param-apt-opt-write-sketch=false
#%file0_affymetrix-algorithm-param-quantification-name=med-polish
#%file0_affymetrix-algorithm-param-quantification-version=1.0
#%file0_affymetrix-algorithm-param-quantification-scale=log2
#%file0_affymetrix-algorithm-param-quantification-type=signal
############################################################
#%file1_name=/home/stefan_l/Diabetes_Postdoc/Hemang_data/Muscle_exercise/lib/NuGOHs1a520180_Hs_Probeset_ID_2_GeneSymbol.txt
#%file1_cols=probeset_id,Gene Symbol,
############################################################
probeset_id	34884_1	34884_2	34885_1	34885_2	34888_1	34888_2	34892_1	34892_2	34893_1	34893_2	34894_1	34894_2	34895_1	34895_2	34896_1	34896_2	34897_1	34897_2	34898_1	34898_2	34899_1	34899_2	34900_1	34900_2	34901_1	34901_2	34902_1	34902_2	34903_1	34903_2	34904_1	34904_2	34905_1	34905_2	34906_1	34906_2	34907_1	34907_2	34908_1	34908_2	34909_1	34909_2	34910_1	34910_2	34912_1	34912_2	34913_1	34913_2	34915_1	34915_2	34919_1	34919_2	34921_1	34921_2	34922_1	34922_2	34923_1	34923_2	34924_1	34924_2	34925_1	34925_2	34926_1	34926_2	34927_1	34927_2	34929_1	34929_2	34930_1	34930_2	34931_1	34931_2	34932_1	34932_2	34933_1	34933_2	34934_1	34934_2	Gene Symbol
NM_001010926_at	5.53586	5.38318	5.36385	5.25929	5.38135	5.21465	5.15227	5.59743	5.43873	5.57257	5.66929	5.49346	5.30898	5.50263	5.43969	5.43049	5.36740	5.22613	5.51652	5.25946	5.35033	5.25403	5.41295	5.31461	5.38544	5.43961	5.33974	5.35033	5.08254	5.28181	5.62484	5.69408	5.52253	5.34961	5.67300	5.55448	5.20983	5.52573	5.42699	5.72061	5.59774	5.45304	5.53037	5.50777	5.27840	5.27785	5.20028	5.49896	5.50083	5.30771	5.23994	5.34987	5.53428	5.15787	5.26166	5.54632	5.29390	5.23861	5.56359	5.43986	5.19379	5.30178	5.46125	5.20368	5.51125	5.44066	5.49766	5.39052	5.50411	5.13817	5.36328	5.26257	5.43719	5.37168	5.25830	5.59295	5.35750	5.47480	HES5
NM_001033581_at	3.51392	3.69381	3.52229	3.60786	3.84003	3.36836	3.49778	3.77038	3.84725	4.02529	3.86354	3.77922	3.67654	3.75877	4.04412	3.74263	3.87933	3.69705	3.75608	3.83311	3.37474	4.04707	3.88113	3.82258	3.88645	3.75218	3.66803	3.91188	3.69761	3.68853	3.79221	3.44199	3.82876	3.86714	3.49427	3.72749	3.50897	3.55948	3.68258	4.02226	3.84630	3.79614	3.68497	3.65834	3.77184	3.68909	3.82191	3.81972	3.75469	3.71463	3.81145	4.07028	4.13231	3.33908	3.70504	3.53483	3.71136	3.49672	3.59665	3.78761	3.31374	3.67144	3.48148	3.61151	3.69870	3.94361	3.62908	3.79038	3.74567	3.96623	3.69296	3.69966	3.73118	3.68051	3.77291	3.96694	3.77352	3.82336	PRKCZ
NM_001033582_at	3.51392	3.69381	3.52229	3.60786	3.84003	3.36836	3.49778	3.77038	3.84725	4.02529	3.86354	3.77922	3.67654	3.75877	4.04412	3.74263	3.87933	3.69705	3.75608	3.83311	3.37474	4.04707	3.88113	3.82258	3.88645	3.75218	3.66803	3.91188	3.69761	3.68853	3.79221	3.44199	3.82876	3.86714	3.49427	3.72749	3.50897	3.55948	3.68258	4.02226	3.84630	3.79614	3.68497	3.65834	3.77184	3.68909	3.82191	3.81972	3.75469	3.71463	3.81145	4.07028	4.13231	3.33908	3.70504	3.53483	3.71136	3.49672	3.59665	3.78761	3.31374	3.67144	3.48148	3.61151	3.69870	3.94361	3.62908	3.79038	3.74567	3.96623	3.69296	3.69966	3.73118	3.68051	3.77291	3.96694	3.77352	3.82336	PRKCZ
NM_001130413_at	4.71862	4.47359	4.59613	4.75083	4.91491	4.80809	4.68015	4.97228	4.90824	5.45725	4.76382	4.63601	4.77489	5.05110	4.83186	4.67835	4.97430	4.66520	4.89695	4.80051	4.55174	4.92484	4.87384	4.92563	4.88668	4.75617	5.01151	5.09544	4.84104	4.77930	4.77387	4.92537	4.36730	4.50706	4.67377	4.35080	4.48549	5.01446	4.84685	4.70604	4.99717	5.02680	4.96153	4.87876	4.56137	4.57561	4.76540	4.85366	5.01054	4.87399	4.92329	4.70972	5.01323	4.39868	4.71102	4.85469	4.74884	4.81198	4.94230	4.66537	4.52655	4.70267	4.65901	4.65483	4.67964	4.63657	4.67538	4.86165	4.74700	4.99383	4.68452	4.48373	4.91730	4.81735	4.93547	5.10703	4.52210	4.73722	SCNN1D
NM_001142467_at	5.09884	5.18295	5.11292	5.10167	4.99410	5.05653	5.55289	5.37289	5.38666	5.61145	5.43959	5.56120	5.31800	5.17355	5.29388	5.22095	5.51056	5.49193	5.49734	5.99922	5.02633	5.12125	5.60733	5.46450	5.50505	6.01363	5.01733	5.42416	5.53104	4.94716	5.84130	5.48729	5.00243	5.18231	5.44695	5.59057	4.93535	5.76674	5.71629	5.60429	5.70213	5.42007	5.56294	5.80318	4.98118	5.12397	5.05514	5.45770	5.24305	5.65846	4.91439	5.11323	5.72184	4.69217	5.19249	5.37971	5.45282	5.35391	5.25335	5.39598	5.02110	4.78916	5.26812	5.22713	5.23819	5.49280	5.51891	5.27794	5.37160	5.34596	5.39139	5.34289	5.29078	5.20215	5.20375	5.77623	5.41496	5.31080	HES4
NM_001142643_at	5.19365	5.19983	4.77931	4.82565	4.90476	5.14701	5.05848	5.26902	5.08715	5.51596	5.29812	5.03694	5.12839	5.30915	4.92980	5.33878	5.31315	5.58699	5.18086	5.09252	4.98110	4.97501	5.37795	5.35873	5.20972	4.93515	5.23379	5.24461	5.11060	5.16079	5.45397	5.17637	4.94841	5.00728	5.09320	5.16655	5.02713	5.32670	5.23691	5.44150	5.41701	5.53160	5.10655	5.28824	5.14255	4.95385	4.93215	5.08937	5.14786	5.47281	5.53445	6.15918	5.19013	4.97713	5.02340	4.97373	4.96993	5.30443	5.37188	5.20198	4.79354	5.15705	5.11185	4.96128	5.22421	5.11568	5.24451	5.36526	5.34290	5.15675	5.00029	5.13728	5.23685	5.39095	4.87739	5.15276	5.19248	5.06725	CASKIN2
NM_001145097_at	2.96897	3.23343	3.41463	3.16118	3.03882	3.14309	3.12399	3.27098	3.38895	3.05504	3.12261	3.08405	3.08467	2.99846	3.09100	2.97814	2.99458	2.90997	3.19467	2.99104	3.23719	3.00896	3.34235	2.87165	2.86128	3.04568	3.00935	3.16851	3.22064	3.12335	3.02880	2.87358	3.02705	3.12268	2.94699	3.04900	3.00113	3.07780	3.24227	2.97825	3.01719	3.03765	3.03353	2.99027	3.38098	2.79356	3.01765	2.91317	2.95893	2.99063	3.29582	3.08496	2.91580	3.24053	3.03551	3.06153	2.95053	3.21768	3.06411	3.09791	3.09477	3.21082	2.95767	2.94699	3.29848	2.85105	2.91385	3.00321	3.24838	3.04921	3.06622	3.00896	3.01126	3.10342	3.05624	3.06622	3.15682	3.23433	SKIL
NM_001145098_at	2.96897	3.23343	3.41463	3.16118	3.03882	3.14309	3.12399	3.27098	3.38895	3.05504	3.12261	3.08405	3.08467	2.99846	3.09100	2.97814	2.99458	2.90997	3.19467	2.99104	3.23719	3.00896	3.34235	2.87165	2.86128	3.04568	3.00935	3.16851	3.22064	3.12335	3.02880	2.87358	3.02705	3.12268	2.94699	3.04900	3.00113	3.07780	3.24227	2.97825	3.01719	3.03765	3.03353	2.99027	3.38098	2.79356	3.01765	2.91317	2.95893	2.99063	3.29582	3.08496	2.91580	3.24053	3.03551	3.06153	2.95053	3.21768	3.06411	3.09791	3.09477	3.21082	2.95767	2.94699	3.29848	2.85105	2.91385	3.00321	3.24838	3.04921	3.06622	3.00896	3.01126	3.10342	3.05624	3.06622	3.15682	3.23433	SKIL
NM_001160184_at	5.68236	5.65257	5.69465	5.51121	5.62895	5.76091	5.65118	5.72801	5.89121	5.86166	5.88720	5.61750	5.81709	5.67127	5.68095	5.77612	5.74511	5.81181	5.60581	5.95371	5.58052	5.67112	5.65113	5.62702	5.68390	5.63866	5.74731	5.78702	5.51175	5.72655	5.68137	5.66058	5.69605	5.89710	5.57930	5.50333	5.12138	5.79728	5.77547	5.76870	5.46310	5.63605	5.69318	5.67632	5.57541	5.33825	5.29251	5.65517	5.79895	5.37841	5.52042	5.32500	5.76008	5.40019	5.58822	5.48897	5.84957	5.66087	5.84368	5.65895	5.56219	5.55239	5.51606	5.28951	5.64648	5.59960	5.49769	5.84371	5.66995	5.60807	5.47018	5.61316	5.85467	5.66857	5.82622	5.79247	5.65712	5.67325	PLEKHN1
NM_002074_at	8.52022	8.72443	8.49134	8.53452	8.51199	9.05815	8.50528	8.22394	8.53836	8.25871	8.39703	8.44268	8.53563	8.45041	8.35828	8.43735	8.52625	8.27962	8.38533	8.36498	8.92118	8.62489	8.39331	8.38554	8.45217	8.66644	8.17007	8.14702	8.12953	8.29783	8.61228	8.39513	8.41397	8.55245	8.39679	8.51769	8.29909	8.32738	8.27549	8.18505	8.42522	8.22404	8.38468	8.39513	8.34640	8.45218	8.43000	8.24955	8.45660	8.67250	8.24173	8.87544	8.57719	9.06235	8.35888	8.17012	8.22889	8.35398	8.46488	8.47287	8.54145	8.47769	8.30512	8.14473	8.24291	8.32100	8.31046	8.21603	8.24775	8.80779	8.38995	8.47132	8.17546	8.36168	8.65116	8.58150	8.41057	8.24452	GNB1
