Sequence	Position	P start	P occupied
TEMP	0	0.00186	0.00186
TEMP	1	0.00103	0.00289
TEMP	2	0.00095	0.00384
TEMP	3	0.00122	0.00506
TEMP	4	0.00181	0.00687
TEMP	5	0.00373	0.0106
TEMP	6	0.00562	0.0162
TEMP	7	0.00772	0.0239
TEMP	8	0.00685	0.0307
TEMP	9	0.00328	0.0340
TEMP	10	0.00182	0.0358
TEMP	11	0.00102	0.0369
TEMP	12	0.00067	0.0375
TEMP	13	0.000746	0.0383
TEMP	14	0.00114	0.0394
TEMP	15	0.00183	0.0412
TEMP	16	0.00374	0.0450
TEMP	17	0.00604	0.0510
TEMP	18	0.00642	0.0574
TEMP	19	0.00735	0.0648
TEMP	20	0.00521	0.0700
TEMP	21	0.00416	0.0742
TEMP	22	0.00269	0.0769
TEMP	23	0.00227	0.0791
TEMP	24	0.00243	0.0816
TEMP	25	0.00353	0.0851
TEMP	26	0.00598	0.0911
TEMP	27	0.0084	0.0995
TEMP	28	0.0141	0.113
TEMP	29	0.0139	0.127
TEMP	30	0.0109	0.138
TEMP	31	0.00621	0.144
TEMP	32	0.00475	0.149
TEMP	33	0.00336	0.152
TEMP	34	0.00266	0.155
TEMP	35	0.00297	0.158
TEMP	36	0.00352	0.161
TEMP	37	0.00455	0.166
TEMP	38	0.00482	0.171
TEMP	39	0.00312	0.174
TEMP	40	0.00181	0.176
TEMP	41	0.00114	0.177
TEMP	42	0.000906	0.178
TEMP	43	0.00111	0.179
TEMP	44	0.00174	0.181
TEMP	45	0.00274	0.183
TEMP	46	0.00473	0.188
TEMP	47	0.0113	0.199
TEMP	48	0.0184	0.218
TEMP	49	0.022	0.240
TEMP	50	0.014	0.254
TEMP	51	0.00994	0.264
TEMP	52	0.00559	0.269
TEMP	53	0.00325	0.273
TEMP	54	0.00276	0.275
TEMP	55	0.00286	0.278
TEMP	56	0.00329	0.281
TEMP	57	0.00345	0.285
TEMP	58	0.00436	0.289
TEMP	59	0.00394	0.293
TEMP	60	0.00434	0.298
TEMP	61	0.00383	0.301
TEMP	62	0.00297	0.304
TEMP	63	0.00311	0.307
TEMP	64	0.00308	0.311
TEMP	65	0.00371	0.314
TEMP	66	0.00441	0.319
TEMP	67	0.00374	0.322
TEMP	68	0.00299	0.325
TEMP	69	0.0032	0.329
TEMP	70	0.0027	0.331
TEMP	71	0.00321	0.334
TEMP	72	0.00363	0.338
TEMP	73	0.0053	0.343
TEMP	74	0.00637	0.350
TEMP	75	0.00618	0.356
TEMP	76	0.00634	0.362
TEMP	77	0.00965	0.372
TEMP	78	0.00766	0.380
TEMP	79	0.00598	0.386
TEMP	80	0.00318	0.389
TEMP	81	0.00164	0.390
TEMP	82	0.00106	0.391
TEMP	83	0.000536	0.392
TEMP	84	0.000463	0.392
TEMP	85	0.000556	0.393
TEMP	86	0.000993	0.394
TEMP	87	0.00242	0.396
TEMP	88	0.00447	0.401
TEMP	89	0.00437	0.405
TEMP	90	0.0026	0.408
TEMP	91	0.00149	0.409
TEMP	92	0.000983	0.410
TEMP	93	0.000564	0.411
TEMP	94	0.000271	0.411
TEMP	95	0.000311	0.411
TEMP	96	0.000397	0.412
TEMP	97	0.000731	0.413
TEMP	98	0.00174	0.414
TEMP	99	0.00253	0.417
TEMP	100	0.00301	0.420
TEMP	101	0.00249	0.422
TEMP	102	0.00114	0.424
TEMP	103	0.000632	0.424
TEMP	104	0.00036	0.425
TEMP	105	0.000245	0.425
TEMP	106	0.0003	0.425
TEMP	107	0.000532	0.426
TEMP	108	0.00106	0.427
TEMP	109	0.00227	0.429
TEMP	110	0.0038	0.433
TEMP	111	0.00328	0.436
TEMP	112	0.00307	0.439
TEMP	113	0.00195	0.441
TEMP	114	0.00156	0.443
TEMP	115	0.00109	0.444
TEMP	116	0.00108	0.445
TEMP	117	0.0014	0.446
TEMP	118	0.00245	0.449
TEMP	119	0.00471	0.453
TEMP	120	0.00637	0.460
TEMP	121	0.00946	0.469
TEMP	122	0.0077	0.477
TEMP	123	0.0053	0.482
TEMP	124	0.00278	0.485
TEMP	125	0.00215	0.487
TEMP	126	0.00155	0.489
TEMP	127	0.00143	0.490
TEMP	128	0.00172	0.492
TEMP	129	0.00198	0.494
TEMP	130	0.00299	0.497
TEMP	131	0.0025	0.499
TEMP	132	0.0017	0.501
