Probe Set ID	Gene Symbol	Gene Description	Cytoband	mRNA Accession	mRNA  Source	mRna - Description	mRNA - xhyb	Chromosome	Strand	Start	Stop	GO Biological Process ID	GO Biological Process Term	GO Cellular Component ID	GO Cellular Component Term	GO Molecular Function ID	GO Molecular Function Term	Pathway Source	Pathway Name	ISL0001	ISL0010	ISL0011	ISL0012	ISL0013	ISL0014	ISL0015	ISL0016	ISL0019	ISL0002	ISL0020	ISL0021	ISL0022	ISL0003	ISL0004	ISL0005	ISL0006	ISL0007	ISL0008	ISL0009	ISL0023	ISL0024	ISL0025	ISL0026	ISL0027	ISL0028	ISL0029	ISL0030	ISL0031	ISL0032	ISL0033	ISL0034	ISL0035	ISL0036	ISL0037	ISL0038	ISL0039	ISL0040	ISL0041	ISL0042	ISL0043	ISL0044	ISL0045	ISL0046	ISL0047	ISL0048	ISL0049	ISL0050
7896740	OR4F17 	olfactory receptor, family 4, subfamily F, member 17 	19p13.3 	NM_001005240 	RefSeq 	Homo sapiens olfactory receptor, family 4, subfamily F, member 17 (OR4F17), mRNA. 	FALSE	chr1	+	58954	59871	GO:0007165  // GO:0007186  // GO:0007608  // GO:0050896 	signal transduction  // G-protein coupled receptor protein signaling pathway  // sensory perception of smell  // response to stimulus 	GO:0005886  // GO:0016021 	plasma membrane  // integral to membrane 	GO:0004872  // GO:0004984 	receptor activity  // olfactory receptor activity 	---	---	2.63946	2.78401	3.15575	2.87793	2.824632	2.898093	2.785563	2.785409	2.844677	2.589392	2.762157	2.662143	2.828594	3.068408	2.776792	2.99949	3.004721	2.797531	3.237061	2.857998	3.107992	2.870324	2.564111	2.593622	2.696644	2.761281	3.123198	2.882645	2.7977	3.063975	2.922864	2.862192	2.889758	2.659276	2.820264	2.931251	3.127398	2.64873	2.894927	2.780565	3.003618	2.89495	2.967053	2.766551	2.966665	2.703474	2.819804	2.972825
7896742	SEPT14	septin 14 	7p11.2 	NM_207366 	RefSeq 	Homo sapiens septin 14 (SEPT14), mRNA. 	FALSE	chr1	+	323992	324159	GO:0007049  // GO:0051301 	cell cycle  // cell division 	GO:0031105 	septin complex 	GO:0000166  // GO:0005515  // GO:0005525 	nucleotide binding  // protein binding  // GTP binding 	---	---	5.802042	6.073789	5.133516	6.425578	5.76811	6.05649	6.286874	6.026906	5.97718	5.811849	6.590702	5.868636	5.534437	6.081089	6.282211	6.195026	5.856655	4.840935	5.470572	6.01846	6.085701	6.140006	6.130169	6.337101	6.512959	6.282606	7.037547	6.018997	6.3333	6.146776	6.00685	5.44166	6.384347	6.267389	6.005075	5.865697	6.794743	6.198101	6.606069	6.221613	6.468998	6.223239	6.086858	6.303014	6.246338	6.148823	5.763268	5.644814
7896744	OR4F16 	olfactory receptor, family 4, subfamily F, member 16 	1p36.33 	NM_001005277 	RefSeq 	Homo sapiens olfactory receptor, family 4, subfamily F, member 16 (OR4F16), mRNA. 	FALSE	chr1	+	357522	358460	---	---	---	---	---	---	---	---	3.558978	3.989899	4.2713	4.987687	4.022157	4.605264	3.708004	3.880654	3.944406	3.493007	4.046628	3.773827	3.922832	3.97801	4.253729	4.06473	3.611523	4.115728	3.691371	3.866802	3.553288	3.913568	3.814747	3.46958	3.775927	3.916992	4.530253	3.857621	4.015052	3.936309	3.988734	3.707396	4.202664	3.637273	3.478428	3.467487	4.151389	3.995411	4.002776	3.654594	3.64648	3.723992	4.150067	3.703947	3.975905	4.515097	4.203613	3.593559
7896750	GPAM 	glycerol-3-phosphate acyltransferase, mitochondrial 	10q25.2 	AK172782 	GenBank 	Homo sapiens cDNA FLJ23943 fis, clone HEP04035, highly similar to Glycerol-3-phosphate acyltransferase, mitochondrial precursor (EC 2.3.1.15). 	FALSE	chr1	+	557932	557999	GO:0008152  // GO:0008654  // GO:0019432 	metabolic process  // phospholipid biosynthetic process  // triglyceride biosynthetic process 	GO:0005739  // GO:0005741  // GO:0005829  // GO:0016020  // GO:0016021 	mitochondrion  // mitochondrial outer membrane  // cytosol  // membrane  // integral to membrane 	GO:0004366  // GO:0004366  // GO:0008415  // GO:0016740 	glycerol-3-phosphate O-acyltransferase activity  // glycerol-3-phosphate O-acyltransferase activity  // acyltransferase activity  // transferase activity 	---	---	5.009615	5.580559	4.008432	3.630019	3.485278	2.583242	3.854969	3.743622	3.076962	2.002216	4.386267	3.644067	2.700788	4.375402	5.005403	2.462529	5.098854	4.482076	5.339852	5.86961	2.45196	3.308153	3.87989	4.069776	2.768631	3.762915	4.939416	4.863378	3.925963	4.070106	4.671898	4.668421	3.812039	5.287739	3.593564	4.540484	3.342268	3.457976	2.713229	4.457047	2.620768	3.138087	2.55367	3.140788	3.178682	3.007491	3.510818	3.184937
7896756	FAM87B 	family with sequence similarity 87, member B 	1p36.33 	ENST00000326734 	ENSEMBL 	similar to hCG1735895 gene:ENSG00000177757 	FALSE	chr1	+	742614	745077	---	---	GO:0016020  // GO:0016021 	membrane  // integral to membrane 	---	---	---	---	4.727439	4.661366	5.080352	4.974202	4.958055	4.973679	5.119056	4.837957	4.861269	4.685086	4.929931	4.592782	5.041956	4.22281	4.696717	5.011405	5.119364	5.198853	4.954313	4.999594	4.811171	4.578997	4.812682	4.852254	4.959712	4.933502	4.731118	4.964883	5.387333	4.993539	4.861328	4.70375	4.682793	4.597456	4.930266	5.231228	5.080417	4.723902	5.110092	5.155049	5.929128	4.900002	4.615633	4.603839	4.981369	5.287241	4.937259	4.866862
7896759	LOC643837 	hypothetical LOC643837 	1p36.33 	AK096570 	GenBank 	Homo sapiens cDNA FLJ39251 fis, clone OCBBF2008701. 	FALSE	chr1	+	781254	783614	---	---	---	---	---	---	---	---	6.682903	6.522247	7.071223	6.754429	6.375588	7.105708	5.949789	6.953216	7.262131	6.832824	7.608205	6.979871	6.917859	7.534955	7.733844	6.212635	7.720816	6.63595	7.259871	6.434355	7.663982	7.275561	7.056066	7.018502	6.415007	6.863189	6.367821	6.413893	6.295361	6.198504	6.857905	6.690008	6.937139	7.623755	6.957659	6.754743	6.886853	7.29292	6.972208	6.956365	6.759337	6.065324	7.540089	6.896272	6.666295	6.298594	6.370533	6.637549
7896761	SAMD11 	sterile alpha motif domain containing 11 	1p36.33 	NM_152486 	RefSeq 	Homo sapiens sterile alpha motif domain containing 11 (SAMD11), mRNA. 	FALSE	chr1	+	850393	870375	---	---	GO:0005634 	nucleus 	---	---	---	---	7.379123	7.025798	6.947907	6.465748	6.843232	7.129058	7.101398	7.471818	7.137034	7.428539	7.138271	6.809453	7.094829	6.958663	7.551422	6.902679	7.193056	7.312634	7.365098	7.087104	7.39452	7.567953	7.463252	7.3236	6.743967	7.201134	7.215394	7.126789	7.038336	7.035947	7.068536	7.299531	7.022527	7.149151	7.072552	6.814038	6.998603	6.948924	7.073474	6.950034	7.003296	7.310835	7.479547	7.214553	7.259216	6.79866	6.936182	6.75998
7896779	KLHL17 	kelch-like 17 (Drosophila) 	1p36.33 	NM_198317 	RefSeq 	Homo sapiens kelch-like 17 (Drosophila) (KLHL17), mRNA. 	FALSE	chr1	+	885830	890962	---	---	GO:0005886  // GO:0030054  // GO:0045202  // GO:0045211 	plasma membrane  // cell junction  // synapse  // postsynaptic membrane 	GO:0003779  // GO:0005515 	actin binding  // protein binding 	---	---	6.572113	6.442284	6.602438	6.614885	6.361945	6.493494	6.583009	6.527653	6.549574	6.519928	6.692387	6.390776	6.853603	5.983847	6.570445	6.52953	6.954839	6.764834	6.590836	6.497211	6.143386	6.446648	6.359367	6.303946	6.57227	6.365407	6.316617	6.42977	6.45186	6.460964	6.474364	6.529125	6.043817	5.865087	6.412422	6.408319	6.505425	6.375173	6.566432	6.471879	6.342761	6.428399	6.412685	6.690866	6.535748	6.504518	6.330706	6.429462
7896798	PLEKHN1 	pleckstrin homology domain containing, family N member 1 	1p36.33 	NM_032129 	RefSeq 	Homo sapiens pleckstrin homology domain containing, family N member 1 (PLEKHN1), mRNA. 	FALSE	chr1	+	891740	900351	---	---	---	---	---	---	---	---	6.498698	6.622702	6.534754	6.685565	6.662433	6.392488	6.63308	6.450757	6.448924	6.452152	6.403019	6.473594	6.607159	6.102448	6.351336	6.599127	6.619694	6.75735	6.61202	6.204475	6.465906	6.476944	6.545833	6.301475	6.806412	6.368303	6.643254	6.506265	6.556943	6.547842	6.613263	6.484851	6.377002	6.140944	6.609542	6.485656	6.67325	6.440677	6.696885	6.58402	6.52043	6.640877	6.530651	6.634206	6.709898	6.838675	6.559484	6.542087
7896817	ISG15 	ISG15 ubiquitin-like modifier 	1p36.33 	NM_005101 	RefSeq 	Homo sapiens ISG15 ubiquitin-like modifier (ISG15), mRNA. 	FALSE	chr1	+	938666	939783	GO:0006464  // GO:0007267  // GO:0009615  // GO:0019941  // GO:0032020  // GO:0044419 	protein modification process  // cell-cell signaling  // response to virus  // modification-dependent protein catabolic process  // ISG15-protein conjugation  // interspecies interaction between organisms 	GO:0005576  // GO:0005615  // GO:0005737 	extracellular region  // extracellular space  // cytoplasm 	GO:0005515  // GO:0031386 	protein binding  // protein tag 	---	---	6.382286	5.842974	6.380906	6.393224	6.329341	6.635337	6.383955	6.469612	6.376601	6.540382	6.705472	6.032483	6.297697	5.904877	6.247391	7.230031	6.307409	6.855824	6.417614	6.049372	6.069821	6.201639	6.293951	5.728387	6.174048	5.804985	5.847717	6.214196	6.012946	6.001174	6.230315	6.32663	5.897298	5.649657	5.986625	6.017028	6.398439	6.04545	6.247981	6.153656	6.267253	6.113398	6.202383	6.339816	6.025826	6.33848	6.453595	6.154708
